Customer_ID,Customer_Segment,Monthly_Cloud_Spend,Service_Usage_EC2,Service_Usage_S3,Service_Usage_RDS,Contract_Term_Length,Discount_Rate,Customer_Satisfaction_Score,Renewal_Likelihood
CUST_1,Enterprise,35209.92,100.7,158.1,26.9,36,21.8,1,0.6
CUST_2,Startup,27268.72,275.5,146.4,25.5,36,24.9,3,0.53
CUST_3,SMB,16166.85,437.7,12.6,90.7,24,11.3,3,0.94
CUST_4,SMB,40875.96,368.8,105.7,25.7,48,20.6,4,0.71
CUST_5,Enterprise,34551.83,405.2,117.2,27.9,12,19.3,5,0.75
CUST_6,Enterprise,8968.23,332.8,122.7,76.2,12,25.8,2,0.96
CUST_7,Enterprise,45635.43,349.2,176.2,45.5,36,27.7,1,0.89
CUST_8,Startup,41304.32,426.1,162.4,77.9,24,5.3,1,0.57
CUST_9,SMB,47540.2,132.3,184.3,7.5,36,21.9,5,0.78
CUST_10,SMB,36560.26,249.8,230.6,49.3,36,6.3,4,0.72
CUST_11,Enterprise,31057.34,118.4,244.8,4.3,12,18.7,4,0.9
CUST_12,Startup,21493.91,494.0,216.8,7.2,36,12.2,5,0.86
CUST_13,Startup,46703.7,472.6,286.9,90.7,24,12.7,4,0.85
CUST_14,Enterprise,43437.13,29.3,10.4,14.8,24,13.8,1,0.67
CUST_15,Enterprise,3215.71,355.7,62.8,53.7,24,20.5,1,0.9
CUST_16,Enterprise,2291.98,463.4,7.2,41.7,48,13.4,2,0.53
CUST_17,Enterprise,19446.7,98.5,196.0,35.4,12,23.3,5,0.58
CUST_18,SMB,40717.11,288.3,269.9,90.1,24,15.1,3,0.67
CUST_19,Enterprise,49376.53,458.6,76.8,3.2,24,6.7,3,0.54
CUST_20,Enterprise,8370.43,26.6,278.5,66.7,36,24.6,2,0.62
CUST_21,SMB,30112.41,351.7,22.8,96.4,24,12.1,2,0.92
CUST_22,Enterprise,19663.65,155.7,280.7,56.5,12,15.8,4,0.97
CUST_23,Enterprise,48525.81,463.0,108.7,93.7,12,22.1,2,0.65
CUST_24,Enterprise,42263.83,485.8,34.9,6.2,12,13.3,2,0.63
CUST_25,Enterprise,42078.11,472.7,148.3,42.5,36,6.4,3,0.64
CUST_26,SMB,23965.96,242.4,80.7,26.8,12,14.3,4,0.64
CUST_27,Enterprise,21326.16,432.4,89.0,73.4,12,28.6,2,0.52
CUST_28,SMB,14396.95,423.8,95.7,98.1,48,21.0,2,0.96
CUST_29,SMB,3762.4,166.4,241.9,26.4,12,21.8,4,0.61
CUST_30,Enterprise,43371.4,416.2,164.1,65.8,48,20.8,5,0.71
CUST_31,SMB,40832.15,28.1,96.8,20.6,24,10.0,4,0.5
CUST_32,Enterprise,49986.17,302.2,185.0,57.0,36,15.5,3,0.93
CUST_33,Enterprise,49835.21,122.7,216.3,46.9,12,23.8,5,0.87
CUST_34,Startup,28216.15,69.1,85.4,97.2,12,7.5,1,0.97
CUST_35,Startup,38680.38,47.7,127.0,61.2,36,11.9,4,0.89
CUST_36,Startup,47293.52,351.2,41.0,35.6,36,11.9,3,0.66
CUST_37,Enterprise,42632.72,176.5,58.4,12.3,36,15.8,5,0.62
CUST_38,Enterprise,13120.06,365.1,205.9,16.0,12,29.5,4,0.85
CUST_39,SMB,23076.66,42.0,58.5,23.3,36,6.7,2,0.68
CUST_40,Enterprise,7328.81,164.5,159.9,25.8,36,18.0,4,0.78
CUST_41,Enterprise,47748.5,274.4,214.2,85.2,24,9.5,1,0.5
CUST_42,Enterprise,30702.56,397.5,36.5,56.6,36,29.3,4,0.53
CUST_43,Enterprise,12203.5,166.2,172.4,52.8,36,7.8,5,0.77
CUST_44,Startup,33913.33,316.7,80.7,12.4,24,15.1,5,0.78
CUST_45,Enterprise,31288.28,444.1,289.1,86.2,12,23.4,4,0.88
CUST_46,SMB,18549.97,311.8,147.6,72.6,24,22.6,5,0.57
CUST_47,Enterprise,6564.32,124.2,242.8,7.7,12,15.6,2,0.76
CUST_48,SMB,33907.09,22.0,167.3,71.1,24,13.7,4,0.6
CUST_49,SMB,26495.08,436.3,17.8,54.8,24,14.9,2,0.55
CUST_50,Enterprise,38843.6,20.4,191.8,9.1,12,11.6,2,0.71
CUST_51,Startup,26488.01,438.6,285.7,46.4,12,10.1,3,0.58
CUST_52,SMB,42756.89,269.2,182.5,49.0,12,17.1,4,0.61
CUST_53,Startup,28043.44,470.1,246.7,17.4,36,11.7,5,0.66
CUST_54,Startup,28485.96,401.4,265.8,94.6,48,12.2,2,0.63
CUST_55,SMB,43956.03,499.0,72.3,85.1,12,21.4,3,0.54
CUST_56,Startup,20770.66,181.8,67.6,67.2,48,29.2,4,0.54
CUST_57,Enterprise,7566.75,385.9,185.2,46.8,24,20.1,4,0.6
CUST_58,Enterprise,2410.35,206.9,126.3,41.8,12,6.9,1,0.53
CUST_59,Enterprise,38001.73,245.1,252.8,65.4,12,6.9,1,0.81
CUST_60,Enterprise,31395.17,317.5,270.5,55.0,24,28.8,2,0.64
CUST_61,Enterprise,35499.91,438.1,109.3,7.2,36,12.4,1,0.64
CUST_62,Enterprise,11435.24,492.2,74.9,51.7,36,7.3,2,0.67
CUST_63,Startup,7682.2,386.5,235.3,80.8,12,20.0,5,0.83
CUST_64,Enterprise,1712.69,214.7,86.1,46.5,12,20.6,2,0.94
CUST_65,Enterprise,18178.79,216.5,247.7,6.1,24,21.2,1,0.88
CUST_66,SMB,29905.97,371.4,130.0,78.8,12,11.7,5,0.86
CUST_67,Enterprise,20219.96,127.0,201.9,20.9,12,5.4,1,0.74
CUST_68,Startup,22436.27,64.1,33.2,26.6,12,29.1,2,0.85
CUST_69,Enterprise,45303.78,183.8,189.0,17.3,36,11.3,3,0.78
CUST_70,Startup,18064.52,150.7,138.3,33.7,48,21.9,4,0.61
CUST_71,SMB,26185.48,155.2,178.0,75.9,24,22.7,1,0.6
CUST_72,Enterprise,39399.0,124.5,54.6,52.4,48,20.3,2,0.65
CUST_73,Enterprise,20430.6,30.6,222.4,21.3,12,12.8,5,0.96
CUST_74,Startup,31482.25,18.8,259.5,87.9,24,11.8,1,0.77
CUST_75,SMB,43255.82,494.0,68.9,88.1,12,19.9,1,0.87
CUST_76,SMB,47526.51,219.6,33.2,87.2,24,26.7,4,0.67
CUST_77,SMB,8206.6,198.3,12.0,24.6,48,28.7,2,0.7
CUST_78,Enterprise,46402.79,343.0,194.4,45.7,24,7.6,3,0.56
CUST_79,Enterprise,25113.7,116.9,184.1,98.5,12,8.9,5,0.59
CUST_80,Enterprise,13653.98,475.5,166.3,77.4,24,28.6,2,0.91
CUST_81,Startup,23497.65,395.3,73.4,3.7,12,23.4,5,0.79
CUST_82,SMB,49021.6,53.8,120.3,7.5,36,27.1,1,0.67
CUST_83,Enterprise,25138.29,214.6,180.4,46.9,24,10.1,4,0.9
CUST_84,Enterprise,17108.83,440.8,151.5,91.0,24,19.7,4,0.62
CUST_85,Enterprise,32036.64,472.9,296.4,54.3,24,22.5,3,0.99
CUST_86,Enterprise,12767.14,239.0,45.2,50.3,24,22.0,4,0.67
CUST_87,SMB,4717.3,310.6,210.1,11.4,12,15.2,1,0.67
CUST_88,SMB,7315.11,91.8,124.3,66.0,24,5.4,3,0.66
CUST_89,Startup,7274.25,495.7,131.3,82.4,12,19.6,2,0.56
CUST_90,Enterprise,8443.23,123.5,216.7,38.7,36,11.3,4,0.56
CUST_91,Enterprise,7802.53,471.9,209.3,77.8,36,16.3,3,0.82
CUST_92,SMB,32402.86,328.3,297.4,96.5,36,28.9,1,0.94
CUST_93,SMB,9912.12,307.8,42.9,21.2,24,15.0,5,0.9
CUST_94,SMB,17937.7,261.2,35.7,52.8,24,26.0,5,0.57
CUST_95,SMB,44942.63,123.0,218.7,29.4,12,9.7,1,0.77
CUST_96,Enterprise,24224.12,96.5,175.6,79.5,36,21.8,1,0.55
CUST_97,SMB,33710.33,118.0,85.9,58.2,12,29.4,5,0.52
CUST_98,Enterprise,9443.67,101.4,28.4,63.8,24,7.5,3,0.83
CUST_99,Enterprise,10422.16,392.0,30.3,80.0,12,5.2,5,0.77
CUST_100,Enterprise,3002.56,181.6,268.8,40.2,12,15.8,1,0.54
CUST_101,Enterprise,9277.82,38.3,61.6,91.6,24,7.3,4,0.52
CUST_102,SMB,14650.93,484.9,100.4,53.8,12,23.7,2,0.99
CUST_103,Enterprise,9673.51,443.1,71.9,16.6,36,27.9,4,0.52
CUST_104,SMB,5346.42,464.6,109.7,69.9,12,15.9,4,0.72
CUST_105,Startup,6911.16,497.5,25.5,79.5,12,11.5,1,0.75
CUST_106,Enterprise,23578.16,95.2,158.1,32.4,24,15.9,5,0.56
CUST_107,Enterprise,11110.35,204.2,24.9,85.9,12,23.1,3,0.58
CUST_108,SMB,18849.22,381.5,241.1,90.7,12,5.2,4,0.68
CUST_109,Enterprise,25667.45,351.1,73.9,28.4,36,19.7,5,0.88
CUST_110,Enterprise,34829.35,85.4,164.3,98.4,12,20.3,3,0.75
CUST_111,Enterprise,2926.29,409.8,264.6,14.9,36,20.9,4,0.82
CUST_112,Enterprise,40171.11,120.0,197.0,21.0,12,11.1,3,0.99
CUST_113,Startup,31767.12,119.7,162.2,19.2,12,22.9,5,0.88
CUST_114,Startup,5006.19,273.1,100.7,89.5,36,7.3,2,0.72
CUST_115,SMB,43805.35,300.5,103.2,65.8,12,10.0,5,0.72
CUST_116,Startup,46122.75,294.2,202.5,16.1,12,26.9,1,0.81
CUST_117,Startup,3992.82,54.8,298.3,44.6,12,23.5,3,0.83
CUST_118,Enterprise,14567.0,440.0,200.2,61.9,12,5.3,2,0.75
CUST_119,Startup,40503.86,140.1,169.5,9.3,36,11.2,3,0.82
CUST_120,SMB,37664.72,73.5,220.5,88.4,12,10.4,3,0.51
CUST_121,Startup,10041.53,445.5,142.2,80.6,36,11.8,4,0.71
CUST_122,Startup,11258.12,478.3,22.7,51.0,36,11.2,1,0.64
CUST_123,Enterprise,19153.13,432.4,170.9,96.7,24,6.6,3,0.56
CUST_124,Enterprise,24741.63,406.7,287.5,42.4,48,16.5,5,0.55
CUST_125,Enterprise,31294.48,331.1,56.7,98.4,12,23.3,5,0.8
CUST_126,Enterprise,19076.77,279.9,208.6,67.1,48,20.2,4,0.76
CUST_127,Startup,23664.2,52.6,64.3,63.8,12,21.8,1,0.63
CUST_128,Startup,37626.08,210.1,163.1,17.4,24,7.0,1,0.74
CUST_129,Enterprise,2797.48,192.6,33.5,88.3,24,28.8,5,0.75
CUST_130,SMB,13369.41,137.3,137.9,43.3,12,26.0,2,0.6
CUST_131,Enterprise,35954.13,364.5,228.1,17.1,24,25.1,4,0.83
CUST_132,Enterprise,44865.14,253.0,107.5,2.2,36,25.6,4,0.89
CUST_133,Enterprise,26072.19,49.7,201.1,56.4,12,28.3,5,0.9
CUST_134,Enterprise,27073.56,117.9,239.7,53.2,12,18.6,5,0.8
CUST_135,Startup,6251.43,344.8,278.5,72.2,36,10.0,2,0.76
CUST_136,Enterprise,22923.21,47.3,74.2,89.1,24,20.4,2,0.53
CUST_137,SMB,27098.25,427.1,122.8,8.9,48,23.6,1,0.64
CUST_138,SMB,12881.05,252.6,50.0,73.4,36,23.4,4,0.55
CUST_139,Enterprise,14192.92,245.5,297.8,19.6,48,18.0,4,0.98
CUST_140,Startup,19486.92,300.3,278.5,86.0,36,6.7,5,0.57
